Date,Open,High,Low,Close,Adj Close,Volume
2011-11-07,34.860001,37.419998,33.650002,36.700001,32.316444,64126500
2011-11-14,36.330002,37.000000,34.799999,35.630001,31.374241,99430600
2011-11-21,35.480000,35.630001,33.279999,33.509998,29.507460,68222300
2011-11-28,34.270000,36.830002,33.759998,36.610001,32.237186,53400900
2011-12-05,37.040001,37.369999,35.820000,36.560001,32.193169,43295700
2011-12-12,36.200001,37.119999,34.990002,35.320000,31.101276,63649900
2011-12-19,35.389999,37.720001,34.509998,37.700001,33.754463,44645500
2011-12-26,37.610001,37.799999,37.169998,37.500000,33.575394,19622400
2012-01-02,37.970001,40.150002,37.939999,39.910000,35.733170,48322800
2012-01-09,39.740002,40.250000,38.020000,38.400002,34.381203,62424800
2012-01-16,38.689999,39.470001,38.400002,39.310001,35.195961,34348200
2012-01-23,39.380001,39.750000,38.570000,39.250000,35.142242,43336600
2012-01-30,38.740002,40.000000,38.380001,40.000000,35.813744,52286400
2012-02-06,40.000000,41.910000,39.959999,41.450001,37.111996,77031300
2012-02-13,41.619999,41.919998,41.080002,41.750000,37.380600,40390500
2012-02-20,41.799999,41.900002,41.090000,41.310001,36.986652,24272900
2012-02-27,41.700001,42.540001,41.299999,42.360001,37.926765,43952600
2012-03-05,42.349998,42.770000,41.700001,42.240002,37.819324,40577000
2012-03-12,42.529999,44.080002,42.150002,43.189999,38.669895,47953400
2012-03-19,43.070000,43.869999,42.860001,43.650002,39.081749,39897600
2012-03-26,43.939999,44.500000,42.299999,43.779999,39.198154,49136100
2012-04-02,43.590000,44.000000,42.480000,43.080002,38.571415,30551700
2012-04-09,42.130001,42.270000,40.880001,41.849998,37.470135,36704100
2012-04-16,42.060001,42.840000,41.540001,42.349998,37.917801,31288800
2012-04-23,42.250000,43.650002,41.730000,43.349998,38.813148,30540200
2012-04-30,43.320000,44.130001,42.840000,42.930000,38.437107,41154300
2012-05-07,43.650002,45.799999,43.090000,45.560001,40.791862,76671900
2012-05-14,45.169998,45.799999,43.619999,43.810001,39.225006,45701300
2012-05-21,43.810001,44.959999,43.509998,44.500000,39.842793,42374300
2012-05-28,44.700001,46.099998,44.340000,44.400002,39.753262,51289700
2012-06-04,44.470001,46.250000,44.139999,46.240002,41.400692,51096600
2012-06-11,46.349998,47.450001,45.580002,47.090000,42.161732,46720000
2012-06-18,46.959999,48.000000,46.799999,47.470001,42.501961,53254100
2012-06-25,47.220001,48.950001,46.549999,48.500000,43.424171,37018700
2012-07-02,48.619999,48.750000,47.700001,48.040001,43.012306,23729600
2012-07-09,48.060001,48.380001,46.849998,48.189999,43.146610,36342700
2012-07-16,47.959999,49.919998,47.689999,48.590000,43.504749,47075700
2012-07-23,47.770000,50.540001,47.419998,49.939999,44.713467,50994100
2012-07-30,49.950001,50.139999,48.130001,49.770000,44.561260,43920600
2012-08-06,49.970001,50.650002,49.049999,49.650002,44.453812,52634500
2012-08-13,49.529999,50.549999,49.459999,50.459999,45.179039,30768400
2012-08-20,50.320000,50.590000,49.009998,49.560001,44.373230,32601700
2012-08-27,49.490002,50.169998,49.290001,49.470001,44.292652,34806600
2012-09-03,49.520000,52.000000,49.230000,51.740002,46.325085,42726200
2012-09-10,51.610001,52.750000,51.270000,52.349998,46.871243,41902900
2012-09-17,52.320000,53.389999,51.770000,52.740002,47.220428,44603800
2012-09-24,52.669998,53.400002,51.770000,52.279999,46.808563,33591700
2012-10-01,52.310001,53.150002,51.470001,52.970001,47.426353,32158700
2012-10-08,52.369999,52.500000,50.200001,50.590000,45.295433,36561900
2012-10-15,50.590000,52.740002,50.360001,51.900002,46.468342,34401800
2012-10-22,51.810001,52.049999,49.520000,50.080002,44.838814,35886200
2012-10-29,51.150002,51.240002,48.799999,49.860001,44.641834,45313300
2012-11-05,50.810001,50.860001,46.529999,47.060001,42.134876,71140600
2012-11-12,47.490002,48.419998,46.959999,47.419998,42.457195,55640500
2012-11-19,47.700001,49.279999,47.450001,49.259998,44.104626,26094400
2012-11-26,48.980000,49.939999,47.840000,49.660000,44.462765,41380800
2012-12-03,49.770000,50.000000,48.560001,49.240002,44.086723,36086700
2012-12-10,49.209999,50.070000,48.549999,48.669998,44.245544,34973200
2012-12-17,48.720001,51.060001,48.669998,50.000000,45.454639,57138000
2012-12-24,49.919998,50.200001,48.900002,49.150002,44.681915,20906200
2012-12-31,48.889999,52.340000,48.799999,52.189999,47.445553,38211700
2013-01-07,51.759998,51.759998,50.450001,50.580002,45.981922,41745100
2013-01-14,50.400002,52.700001,50.180000,52.340000,47.581921,42603100
